Domain,Phylum,Class,Order,Family,Genus,best_hit
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 275:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 276:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 277:Pantoea
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,ASV 278:Massilia
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 279:Bacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 281:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 283:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 284:Esherichica/Shigella
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 285:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 286:Esherichica/Shigella
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 287:Pantoea
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,ASV 288:Micrococcus
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,ASV 290:Micrococcus
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 291:Esherichica/Shigella
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 292:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 293:Esherichica/Shigella
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 294:Bacillus
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,ASV 295:Massilia
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 296:Esherichica/Shigella
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,ASV 297:Massilia
